,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
1794,Scott Malone,eng ENG,DF,Huddersfield,eng Premier League,26,1991,22,1119,51,32.7,12.4,12,,6,10,,12,0.82,8,23,-15,-1.21,-0.62,9.5,14.0,-4.5,-0.36,+0.13,Matches,f15a50e8
1795,Vincent Manceau,fr FRA,DF,Angers,fr Ligue 1,28,1989,33,2970,90,86.8,33.0,33,90,33,0,,1,1.21,41,44,-3,-0.09,+1.31,41.7,39.0,+2.7,+0.08,+0.25,Matches,c26a3918
1796,Gianluca Mancini,it ITA,DF,Atalanta,it Serie A,21,1996,11,684,62,20.0,7.6,8,,3,3,,26,1.45,8,8,0,0.00,-0.59,12.6,7.3,+5.4,+0.71,-0.02,Matches,5aa53281
1797,Over Mandanda,fr FRA,GK,Bordeaux,fr Ligue 1,18,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,52f0a066
1798,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,32,1985,31,2704,87,79.1,30.0,31,87,29,0,,0,2.03,65,37,+28,+0.93,+0.30,63.1,33.3,+29.7,+1.00,+0.20,Matches,1d2d5cc8
1799,Aïssa Mandi,dz ALG,DF,Betis,es La Liga,25,1991,34,3024,89,88.4,33.6,34,89,33,0,,2,1.65,54,49,+5,+0.15,+1.51,41.2,41.6,-0.4,-0.01,+0.60,Matches,fbd6378b
1800,Georges Mandjeck,cm CMR,MFDF,Metz,fr Ligue 1,28,1988,14,968,69,28.3,10.8,11,80,6,3,29,2,0.71,13,27,-14,-1.30,-0.27,12.7,21.3,-8.6,-0.80,+0.02,Matches,de343d38
1801,Rolando Mandragora,it ITA,MF,Crotone,it Serie A,20,1997,36,3240,90,94.7,36.0,36,,36,0,,1,0.97,38,57,-19,-0.53,+2.97,32.5,54.1,-21.6,-0.60,+0.61,Matches,c7259b83
1802,Anthony Mandrea,dz ALG,GK,Angers,fr Ligue 1,20,1996,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches,f7d3a773
1803,Mario Mandžukić,hr CRO,FW,Juventus,it Serie A,31,1986,32,2324,73,68.0,25.8,27,,16,5,,0,2.47,58,18,+40,+1.55,-0.26,38.1,20.1,+18.0,+0.70,-0.11,Matches,afa0d4e0
1804,Sadio Mané,sn SEN,FW,Liverpool,eng Premier League,25,1992,29,2190,76,64.0,24.3,28,,9,1,,3,1.97,53,20,+33,+1.36,+0.40,49.4,17.4,+31.9,+1.31,+0.79,Matches,c691bfe2
1805,Eliaquim Mangala,fr FRA,DF,Manchester City,eng Premier League,26,1991,9,488,54,14.3,5.4,4,,4,5,,15,2.78,14,2,+12,+2.21,+0.16,12.4,4.0,+8.4,+1.54,+0.12,Matches,f520049f
1806,Eliaquim Mangala,fr FRA,DF,Everton,eng Premier League,26,1991,2,134,67,3.9,1.5,2,,1,0,,0,1.50,1,5,-4,-2.69,-2.41,1.5,2.7,-1.2,-0.80,-0.51,Matches,f520049f
1807,Orel Mangala,be BEL,MF,Stuttgart,de Bundesliga,19,1998,20,779,39,25.5,8.7,7,,5,13,,10,1.45,9,13,-4,-0.46,-0.62,10.0,13.0,-2.9,-0.34,-0.33,Matches,a572e291
1808,Kader Mangane,sn SEN,DF,Strasbourg,fr Ligue 1,34,1983,20,1718,86,50.2,19.1,20,86,19,0,,5,1.20,20,30,-10,-0.52,+0.16,21.4,26.2,-4.8,-0.25,+0.17,Matches,dbb10755
1809,Thomas Mangani,fr FRA,MF,Angers,fr Ligue 1,30,1987,35,3025,86,88.5,33.6,34,89,31,1,5,0,1.14,40,48,-8,-0.24,+0.22,42.9,41.3,+1.6,+0.05,+0.01,Matches,c801616a
1810,Filip Manojlović,rs SRB,GK,Getafe,es La Liga,21,1996,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches,8d2e1890
1811,Kostas Manolas,gr GRE,DF,Roma,it Serie A,26,1991,29,2338,81,68.4,26.0,27,,21,2,,6,1.93,46,25,+21,+0.81,-0.19,46.4,28.6,+17.8,+0.68,-0.01,Matches,c707411f
1812,Javier Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,23,1994,21,1758,84,51.4,19.5,20,,18,1,,17,0.86,17,31,-14,-0.72,-1.04,16.5,32.4,-15.9,-0.81,-1.09,Matches,758dd7f0
1813,Martín Mantovani,ar ARG,DF,Leganés,es La Liga,33,1984,14,1022,73,29.9,11.4,10,90,10,4,31,4,1.07,10,17,-7,-0.62,-0.24,10.6,14.3,-3.7,-0.32,-0.17,Matches,4ffb647d
1814,José Manuel Jurado,es ESP,MFFW,Espanyol,es La Liga,31,1986,29,1501,52,43.9,16.7,20,67,4,9,19,4,1.24,14,19,-5,-0.30,-0.25,14.2,24.2,-10.0,-0.60,-0.55,Matches,71d4e271
1815,Juan Manuel Valencia,co COL,MF,Bologna,it Serie A,19,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,7f50c23b
1816,Harrison Manzala,cd COD,FWMF,Amiens,fr Ligue 1,23,1994,37,1867,50,54.6,20.7,18,77,4,19,26,1,1.19,16,17,-1,-0.05,+0.18,16.2,28.9,-12.7,-0.61,-0.06,Matches,392d98fc
1817,Myziane Maolida,fr FRA,FWMF,Lyon,fr Ligue 1,18,1999,13,331,25,9.7,3.7,2,68,0,11,18,9,2.15,7,3,+4,+1.09,-0.08,5.7,3.5,+2.3,+0.61,0.00,Matches,706a60e1
1818,Faitout Maouassa,fr FRA,MFFW,Rennes,fr Ligue 1,19,1998,19,887,47,25.9,9.9,9,75,3,10,21,7,1.68,12,10,+2,+0.20,+0.06,10.2,11.6,-1.4,-0.15,-0.21,Matches,e54a9890
1819,Fernando Marçal,br BRA,DF,Lyon,fr Ligue 1,28,1989,18,1295,72,37.9,14.4,14,87,11,4,21,14,2.39,39,9,+30,+2.08,+1.49,24.6,15.1,+9.5,+0.66,+0.08,Matches,9ae9eaea
1820,Vincent Marcel,fr FRA,MFFW,Nice,fr Ligue 1,20,1997,2,48,24,1.4,0.5,0,,0,2,24,3,0.00,0,0,0,0.00,-0.03,0.4,0.1,+0.3,+0.60,+0.62,Matches,51fa3fed
1821,Marcelo,br BRA,DF,Real Madrid,es La Liga,29,1988,28,2260,81,66.1,25.1,26,85,21,2,23,2,1.86,62,31,+31,+1.23,-0.24,55.6,29.1,+26.5,+1.05,-0.16,Matches,603116a7
1822,Marcelo,br BRA,DF,Lyon,fr Ligue 1,30,1987,35,3105,89,90.8,34.5,35,89,33,0,,1,2.11,80,34,+46,+1.33,+1.90,58.2,35.6,+22.5,+0.65,+0.44,Matches,e3d0b0c4
1823,Solly March,eng ENG,MFFW,Brighton,eng Premier League,23,1994,36,1851,51,54.1,20.6,18,,10,18,,2,1.08,11,29,-18,-0.88,-0.76,16.8,28.3,-11.5,-0.56,-0.43,Matches,bb5fbd2b
1824,Gabriele Marchegiani,it ITA,GK,SPAL,it Serie A,21,1996,1,1,1,0.0,0.0,0,,0,1,,37,3.00,0,0,0,0.00,+0.53,0.0,0.0,0.0,0.00,+0.58,Matches,8cf63012
1825,Claudio Marchisio,it ITA,MF,Juventus,it Serie A,31,1986,15,817,54,23.9,9.1,9,,4,6,,12,2.87,23,5,+18,+1.98,+0.46,16.8,7.3,+9.5,+1.04,+0.41,Matches,e304acd5
1826,Gian Marco Ferrari,it ITA,DF,Sampdoria,it Serie A,25,1992,30,2645,88,77.3,29.4,29,,29,1,,8,1.43,41,48,-7,-0.24,-0.59,38.9,50.0,-11.2,-0.38,-0.89,Matches,8650af85
1827,Óscar de Marcos,es ESP,DFFW,Athletic Club,es La Liga,28,1989,21,1658,79,48.5,18.4,20,82,14,1,23,1,1.24,22,23,-1,-0.05,+0.30,25.8,19.0,+6.8,+0.37,+0.75,Matches,9f323c71
1828,Andrea Marcucci,it ITA,MF,Roma,it Serie A,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,2fec6b88
1829,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,22,1995,23,1690,73,49.4,18.8,17,90,17,6,27,8,2.17,34,14,+20,+1.07,+0.23,26.4,19.0,+7.4,+0.39,+0.03,Matches,f0da930c
1830,Mariano,do DOM,FW,Lyon,fr Ligue 1,23,1993,34,2507,74,73.3,27.9,30,80,16,4,24,0,2.09,62,27,+35,+1.26,+0.37,44.0,28.9,+15.1,+0.54,-0.26,Matches,5c4dc0ff
1831,Adrian Mariappa,jm JAM,DF,Watford,eng Premier League,30,1986,28,2210,79,64.6,24.6,24,,21,4,,5,1.14,26,45,-19,-0.77,-0.70,25.3,33.3,-8.0,-0.33,-0.42,Matches,8aa5f52c
1832,Jordan Marié,fr FRA,MF,Dijon,fr Ligue 1,25,1991,27,1883,70,55.1,20.9,21,82,12,6,27,6,1.26,25,46,-21,-1.00,-1.18,21.8,38.4,-16.6,-0.79,-0.46,Matches,0d2158d5
1833,Adrián Marín,es ESP,DF,Villarreal,es La Liga,20,1997,3,233,78,6.8,2.6,2,89,1,1,56,10,1.33,5,4,+1,+0.39,+0.22,4.3,2.6,+1.7,+0.65,+0.70,Matches,b7f2edff
1834,João Mário,pt POR,MF,West Ham,eng Premier League,24,1993,13,1022,79,29.9,11.4,12,,6,1,,1,1.23,13,14,-1,-0.09,+0.63,9.8,15.3,-5.5,-0.49,0.00,Matches,f0021247
1835,João Mário,pt POR,MFFW,Inter,it Serie A,24,1993,14,554,40,16.2,6.2,5,,2,9,,5,2.21,14,2,+12,+1.95,+1.20,10.1,6.6,+3.5,+0.58,+0.07,Matches,f0021247
1836,Guillermo Maripán,cl CHI,DF,Alavés,es La Liga,23,1994,19,1528,80,44.7,17.0,17,89,16,2,7,13,1.32,18,20,-2,-0.12,+0.26,17.7,23.1,-5.5,-0.32,+0.25,Matches,d9764034
1837,Luka Marković,rs SRB,FW,Crotone,it Serie A,17,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,c76c6709
1838,Marlon,br BRA,DF,Nice,fr Ligue 1,21,1995,23,1929,84,56.4,21.4,22,87,20,1,15,4,1.57,36,29,+7,+0.33,+0.69,27.5,30.2,-2.7,-0.13,-0.27,Matches,cdf65d12
1839,Dean Marney,eng ENG,MF,Burnley,eng Premier League,33,1984,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches,b3379356
1840,Dominic Maroh,si SVN,DF,Köln,de Bundesliga,30,1987,11,914,83,29.9,10.2,10,,9,1,,14,0.55,7,17,-10,-0.98,+0.06,12.9,19.5,-6.6,-0.65,+0.09,Matches,3f30b506
1841,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,23,1994,26,2262,87,66.1,25.1,25,89,23,1,45,7,2.27,61,20,+41,+1.63,-1.32,50.6,23.8,+26.8,+1.07,-0.87,Matches,d5f2f82b
1842,Leonardo Marson,it ITA,GK,Sassuolo,it Serie A,19,1998,0,,,,,0,,0,0,,24,,,,,,,,,,,,Matches,72c938a0
1843,Bruno Martella,it ITA,DF,Crotone,it Serie A,24,1992,30,2616,87,76.5,29.1,30,,27,0,,5,0.97,32,42,-10,-0.34,+1.45,27.3,42.6,-15.3,-0.53,+0.45,Matches,1e12c53b
1844,Roger Martí,es ESP,FW,Levante,es La Liga,26,1991,17,963,57,28.2,10.7,10,78,5,7,26,2,1.59,17,15,+2,+0.19,+0.77,17.2,16.5,+0.8,+0.07,+0.79,Matches,0ae4e09a
1845,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,21,1995,30,1582,53,46.3,17.6,18,,5,12,,4,2.03,34,13,+21,+1.19,+0.26,27.0,22.1,+4.9,+0.28,-0.22,Matches,8b788c01
1846,Aarón Martín,es ESP,DF,Espanyol,es La Liga,20,1997,32,2815,88,82.3,31.3,31,90,30,1,35,5,1.31,28,35,-7,-0.22,-0.37,30.3,43.7,-13.4,-0.43,-0.76,Matches,2f3e911a
1847,Jonas Martin,fr FRA,MF,Strasbourg,fr Ligue 1,27,1990,36,3025,84,88.5,33.6,36,84,17,0,,0,0.97,32,60,-28,-0.83,-1.97,38.3,53.0,-14.7,-0.44,-0.84,Matches,468fdbad
1848,Cuco Martina,cw CUW,DF,Everton,eng Premier League,27,1989,21,1830,87,53.5,20.3,20,,19,1,,14,1.33,20,30,-10,-0.49,-0.27,20.3,30.3,-10.1,-0.49,-0.39,Matches,22551915
1849,Carlos Martínez,es ESP,DF,Real Sociedad,es La Liga,31,1986,1,3,3,0.1,0.0,0,,0,1,3,2,3.00,0,0,0,0.00,-0.18,0.0,0.0,0.0,-0.85,-0.94,Matches,d9b0cc38
1850,Emiliano Martínez,ar ARG,GK,Getafe,es La Liga,24,1992,5,450,90,13.2,5.0,5,90,5,0,,31,1.40,7,7,0,0.00,-0.27,8.5,5.4,+3.1,+0.62,+0.46,Matches,7956236f
1851,Iñigo Martínez,es ESP,DF,Athletic Club,es La Liga,26,1991,16,1440,90,42.1,16.0,16,90,16,0,,0,1.00,17,25,-8,-0.50,-0.50,18.4,19.6,-1.2,-0.08,-0.10,Matches,3fc45c73
1852,Iñigo Martínez,es ESP,DF,Real Sociedad,es La Liga,26,1991,12,1055,88,30.8,11.7,12,88,11,0,,0,1.08,16,19,-3,-0.26,-0.64,17.0,16.5,+0.5,+0.05,-0.05,Matches,3fc45c73
1853,Javi Martínez,es ESP,MFDF,Bayern Munich,de Bundesliga,28,1988,22,1609,73,52.6,17.9,18,,13,4,,7,2.41,44,13,+31,+1.73,-0.31,36.8,15.8,+21.0,+1.17,-0.26,Matches,7f97771d
1854,Pablo Martinez,fr FRA,DF,Strasbourg,fr Ligue 1,28,1989,24,2115,88,61.8,23.5,24,88,23,0,,2,0.75,23,43,-20,-0.85,-0.64,26.5,34.8,-8.2,-0.35,-0.03,Matches,1ad8cb67
1855,Roger Martínez,co COL,FW,Villarreal,es La Liga,23,1994,8,230,29,6.7,2.6,2,74,1,6,14,6,1.25,2,5,-3,-1.17,-1.46,2.5,3.1,-0.6,-0.23,-0.25,Matches,6f0d613a
1856,Toni Martínez,es ESP,FW,West Ham,eng Premier League,20,1997,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches,f3945e07
1857,Christopher Martins,lu LUX,MF,Lyon,fr Ligue 1,20,1997,2,69,35,2.0,0.8,1,50,0,1,19,1,1.50,1,2,-1,-1.30,-2.51,0.4,2.1,-1.7,-2.22,-2.89,Matches,0e96a5e1
1858,Bruno Martins Indi,nl NED,DF,Stoke City,eng Premier League,25,1992,17,1243,73,36.3,13.8,14,,10,3,,5,0.76,10,27,-17,-1.23,-0.57,11.9,22.0,-10.1,-0.73,-0.07,Matches,7bc34048
1859,Jonathan Martins Pereira,fr FRA,DF,Guingamp,fr Ligue 1,31,1986,14,1135,81,33.2,12.6,14,81,12,0,,6,1.36,11,20,-9,-0.71,-0.63,12.6,13.7,-1.1,-0.08,+0.01,Matches,b51242ef
1860,Adam Marušić,me MNE,DF,Lazio,it Serie A,24,1992,32,2523,79,73.8,28.0,28,,21,4,,3,1.91,70,35,+35,+1.25,+0.75,50.0,32.8,+17.2,+0.62,+0.35,Matches,d4535821
1861,Omar Mascarell,es ESP,MF,Eint Frankfurt,de Bundesliga,24,1993,9,771,86,25.2,8.6,8,,8,1,,0,1.44,14,15,-1,-0.12,-0.16,12.2,12.5,-0.4,-0.04,-0.08,Matches,11fd2b75
1862,Javier Mascherano,ar ARG,DF,Barcelona,es La Liga,33,1984,7,541,77,15.8,6.0,6,90,6,1,1,7,3.00,19,1,+18,+2.99,+1.37,12.2,4.1,+8.0,+1.33,+0.28,Matches,5070881b
1863,Andrea Masiello,it ITA,DF,Atalanta,it Serie A,31,1986,31,2707,87,79.2,30.1,30,,29,1,,5,1.65,47,31,+16,+0.53,+0.28,52.7,29.1,+23.6,+0.78,+0.30,Matches,e0314d87
1864,Adam Masina,ma MAR,DF,Bologna,it Serie A,23,1994,34,2830,83,82.7,31.4,33,,22,1,,2,0.97,31,43,-12,-0.38,-0.38,28.4,39.5,-11.1,-0.35,+0.21,Matches,de0f152c
1865,Eden Massouema,cg CGO,MFFW,Dijon,fr Ligue 1,20,1997,6,189,32,5.5,2.1,2,60,0,4,17,6,1.17,2,6,-4,-1.90,-1.51,2.2,4.1,-1.9,-0.90,-0.33,Matches,639b42f5
1866,Conor Masterson,ie IRL,DF,Liverpool,eng Premier League,18,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,db975607
1867,Arthur Masuaku,cd COD,DF,West Ham,eng Premier League,23,1993,27,1870,69,54.7,20.8,21,,13,6,,5,1.26,27,29,-2,-0.10,+0.95,21.2,27.3,-6.1,-0.29,+0.42,Matches,57df7a11
1868,Juan Mata,es ESP,FW,Manchester Utd,eng Premier League,29,1988,28,1922,69,56.2,21.4,23,,7,5,,8,2.07,34,10,+24,+1.12,+0.16,33.4,16.6,+16.8,+0.79,+0.89,Matches,29733c72
1869,Christian Mathenia,de GER,GK,Hamburger SV,de Bundesliga,25,1992,24,2160,90,70.6,24.0,24,,24,0,,9,0.75,18,38,-20,-0.83,-0.43,24.0,40.3,-16.3,-0.68,-0.49,Matches,4a15e95b
1870,Nemanja Matić,rs SRB,MF,Manchester Utd,eng Premier League,28,1988,36,3118,87,91.2,34.6,35,,33,1,,0,2.14,64,26,+38,+1.10,+0.50,51.9,37.1,+14.8,+0.43,+0.35,Matches,eb7822d7
1871,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,25,1991,25,1997,80,58.4,22.2,22,,22,3,,1,2.16,53,27,+26,+1.17,-0.09,46.8,21.8,+24.9,+1.12,+0.23,Matches,b217ef29
1872,Ryder Matos,br BRA,MF,Udinese,it Serie A,24,1993,4,170,43,5.0,1.9,1,,0,3,,14,1.50,3,1,+2,+1.06,+1.53,0.8,2.3,-1.5,-0.79,-0.66,Matches,7280b54f
1873,Ryder Matos,br BRA,FWMF,Hellas Verona,it Serie A,24,1993,14,978,70,28.6,10.9,11,,7,3,,1,0.64,9,23,-14,-1.29,-0.04,7.7,19.8,-12.2,-1.12,-0.20,Matches,7280b54f
1874,Alessandro Matri,it ITA,FW,Sassuolo,it Serie A,32,1984,23,914,40,26.7,10.2,7,,4,16,,13,0.91,7,20,-13,-1.28,-0.67,15.9,16.8,-0.9,-0.09,-0.03,Matches,58d97e77
1875,Ville Matti Steinmann,de GER,MF,Hamburger SV,de Bundesliga,22,1995,8,595,74,19.4,6.6,8,,3,0,,0,1.63,10,12,-2,-0.30,+0.50,11.2,11.5,-0.3,-0.05,+0.61,Matches,ee57792b
1876,Federico Mattiello,it ITA,DF,SPAL,it Serie A,22,1995,29,2204,76,64.4,24.5,24,,17,5,,2,1.17,31,40,-9,-0.37,+0.45,28.1,33.9,-5.8,-0.24,+0.92,Matches,fba81826
1877,Blaise Matuidi,fr FRA,MF,Juventus,it Serie A,30,1987,32,2354,74,68.8,26.2,27,,21,5,,2,2.41,49,15,+34,+1.30,-1.06,36.6,16.6,+20.0,+0.76,+0.10,Matches,c0cddebe
1878,Blaise Matuidi,fr FRA,MF,Paris S-G,fr Ligue 1,30,1987,2,28,14,0.8,0.3,0,,0,2,14,0,3.00,1,0,+1,+3.21,+1.14,0.6,0.2,+0.4,+1.27,-0.09,Matches,c0cddebe
1879,José Mauri,it ITA,MF,Milan,it Serie A,21,1996,1,13,13,0.4,0.1,0,,0,1,,26,3.00,0,0,0,0.00,-0.37,0.3,0.2,+0.1,+0.76,+0.39,Matches,644faf10
1880,Maurício,br BRA,DF,Lazio,it Serie A,28,1988,1,5,5,0.1,0.1,0,,0,1,,5,3.00,0,0,0,0.00,-1.05,0.0,0.0,0.0,+0.73,+0.21,Matches,d5bd1abc
1881,Mërgim Mavraj,al ALB,DF,Hamburger SV,de Bundesliga,31,1986,17,1445,85,47.2,16.1,17,,14,0,,6,0.65,13,26,-13,-0.81,-0.20,14.2,27.4,-13.1,-0.82,-0.54,Matches,0eb5720b
1882,Konstantinos Mavropanos,gr GRE,DF,Arsenal,eng Premier League,19,1997,3,195,65,5.7,2.2,3,,2,0,,0,1.00,6,3,+3,+1.38,+0.83,3.2,2.1,+1.1,+0.53,-0.01,Matches,00963611
1883,Alfie Mawson,eng ENG,DF,Swansea City,eng Premier League,23,1994,38,3420,90,100.0,38.0,38,,38,0,,0,0.87,28,56,-28,-0.74,,31.6,58.6,-27.0,-0.71,,Matches,d368feb8
1884,Philipp Max,de GER,DF,Augsburg,de Bundesliga,23,1993,33,2959,90,96.7,32.9,33,,32,0,,0,1.24,43,44,-1,-0.03,+1.75,44.5,39.8,+4.7,+0.14,+1.40,Matches,826e8b63
1885,Alexandru Maxim,ro ROU,MF,Mainz 05,de Bundesliga,27,1990,22,957,44,31.3,10.6,11,,1,11,,7,0.86,14,18,-4,-0.38,+0.05,10.7,14.5,-3.8,-0.36,+0.02,Matches,61fc9685
1886,Eric Maxim Choupo-Moting,cm CMR,FWMF,Stoke City,eng Premier League,28,1989,30,2314,77,67.7,25.7,26,,18,4,,1,0.90,28,45,-17,-0.66,+0.64,25.3,36.7,-11.4,-0.46,+0.66,Matches,0e6bc38c
1887,Florian Mayer,de GER,DF,M'Gladbach,de Bundesliga,19,1998,1,19,19,0.6,0.2,0,,0,1,,7,1.00,0,0,0,0.00,+0.15,0.5,0.1,+0.4,+1.71,+1.74,Matches,45870256
1888,Borja Mayoral,es ESP,FWMF,Real Madrid,es La Liga,20,1997,14,345,25,10.1,3.8,3,76,1,11,11,10,2.07,13,7,+6,+1.57,+0.28,10.9,5.1,+5.7,+1.50,+0.43,Matches,64e8ed6d
1889,Róbert Mazáň,sk SVK,DF,Celta Vigo,es La Liga,23,1994,2,81,41,2.4,0.9,1,57,0,1,24,16,1.50,0,3,-3,-3.33,-3.39,0.7,1.0,-0.3,-0.29,-0.29,Matches,30672832
1890,Youssef Maziz,fr FRA,MF,Metz,fr Ligue 1,19,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,514270e8
1891,Luca Mazzitelli,it ITA,MF,Sassuolo,it Serie A,21,1995,20,1017,51,29.7,11.3,10,,5,10,,18,0.90,11,23,-12,-1.06,-0.39,12.4,16.6,-4.1,-0.37,-0.42,Matches,dc61b402
1892,Safwan Mbaé,km COM,DF,Monaco,fr Ligue 1,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,6e345aa9
1893,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,18,1998,27,2094,78,61.2,23.3,24,85,19,3,17,2,2.30,60,20,+40,+1.72,-0.93,51.9,23.6,+28.3,+1.22,-0.38,Matches,42fd9c7f
1894,Kylian Mbappé,fr FRA,FWMF,Monaco,fr Ligue 1,18,1998,1,74,74,2.2,0.8,1,74,0,0,,2,3.00,3,2,+1,+1.22,+0.17,1.6,0.2,+1.4,+1.76,+1.42,Matches,42fd9c7f
1895,Ibrahima Mbaye,sn SEN,DF,Bologna,it Serie A,22,1994,25,1760,70,51.5,19.6,18,,15,7,,8,1.40,26,25,+1,+0.05,+0.76,21.5,25.6,-4.1,-0.21,+0.37,Matches,cfbf9881
1896,Chancel Mbemba,cd COD,DF,Newcastle Utd,eng Premier League,22,1994,9,672,75,19.6,7.5,7,,5,2,,3,1.11,8,11,-3,-0.40,-0.24,8.4,11.2,-2.7,-0.36,-0.10,Matches,e76cb9cc
1897,Adama Mbengue,sn SEN,DF,Caen,fr Ligue 1,23,1993,19,1595,84,46.6,17.7,18,88,16,1,13,1,1.32,12,21,-9,-0.51,+0.28,22.3,23.7,-1.5,-0.08,+0.10,Matches,b931d9d1
1898,Isaac Mbenza,be BEL,FWMF,Montpellier,fr Ligue 1,21,1996,38,2096,55,61.3,23.3,22,79,8,16,23,0,1.34,20,22,-2,-0.09,-0.43,26.7,22.1,+4.6,+0.20,+0.26,Matches,aa1a8c7e
1899,Bryan Mbeumo,cm CMR,FWMF,Troyes,fr Ligue 1,17,1999,4,64,16,1.9,0.7,0,,0,4,16,3,1.00,1,2,-1,-1.41,-0.71,0.7,1.7,-0.9,-1.32,-0.97,Matches,6afaebf2
1900,Jordi Mboula,es ESP,MF,Monaco,fr Ligue 1,18,1999,3,31,10,0.9,0.3,0,,0,3,10,2,2.33,2,0,+2,+5.81,+4.80,0.6,0.1,+0.4,+1.24,+0.89,Matches,4887118d
1901,Dylan Mboumbouni,cf CTA,DF,Lyon,fr Ligue 1,21,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,218bfaa2
1902,James McArthur,sct SCO,MF,Crystal Palace,eng Premier League,29,1987,33,2431,74,71.1,27.0,27,,18,6,,2,1.27,34,35,-1,-0.04,+0.78,37.1,31.4,+5.7,+0.21,+0.25,Matches,cee31595
1903,Gareth McAuley,nir NIR,DF,West Brom,eng Premier League,37,1979,9,458,51,13.4,5.1,5,,3,4,,18,0.56,3,15,-12,-2.36,-1.96,3.2,7.6,-4.4,-0.86,-0.64,Matches,ac7d7378
1904,Oliver McBurnie,sct SCO,FWMF,Swansea City,eng Premier League,21,1996,11,276,25,8.1,3.1,2,,0,9,,2,0.73,3,5,-2,-0.65,+0.09,3.3,5.3,-2.0,-0.66,+0.05,Matches,78b8ac63
1905,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,27,1989,18,1620,90,47.4,18.0,18,,18,0,,19,0.94,17,26,-9,-0.50,0.00,16.2,19.9,-3.7,-0.21,-0.13,Matches,36c2ca73
1906,James McCarthy,ie IRL,MF,Everton,eng Premier League,26,1990,4,205,51,6.0,2.3,3,,0,1,,0,0.25,0,6,-6,-2.63,-2.41,1.6,5.3,-3.7,-1.63,-1.40,Matches,64b08de7
1907,James McClean,ie IRL,MFFW,West Brom,eng Premier League,28,1989,30,1406,47,41.1,15.6,14,,8,16,,8,0.93,8,21,-13,-0.83,-0.30,12.9,21.5,-8.7,-0.55,-0.43,Matches,53538b39
1908,Weston McKennie,us USA,MF,Schalke 04,de Bundesliga,18,1998,22,1263,57,41.3,14.0,13,,8,9,,4,1.77,19,18,+1,+0.07,-0.68,18.2,16.4,+1.7,+0.13,-0.10,Matches,01c3aff5
1909,Sam McQueen,eng ENG,DFMF,Southampton,eng Premier League,22,1995,7,148,21,4.3,1.6,1,,1,6,,10,0.86,1,2,-1,-0.61,-0.11,1.5,2.5,-1.1,-0.64,-0.53,Matches,b27b49b4
1910,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,20,1996,13,634,49,18.5,7.0,7,,6,6,,10,2.38,8,3,+5,+0.71,-0.42,7.3,5.9,+1.4,+0.19,-0.25,Matches,d93c2511
1911,Iuri Medeiros,pt POR,FWMF,Genoa,it Serie A,23,1994,11,641,58,18.7,7.1,7,,3,4,,5,1.18,10,10,0,0.00,+0.32,9.4,8.9,+0.5,+0.07,+0.06,Matches,97e2aa67
1912,Slobodan Medojević,rs SRB,MF,Eint Frankfurt,de Bundesliga,26,1990,1,29,29,0.9,0.3,0,,0,1,,1,3.00,1,0,+1,+3.10,+3.13,0.7,0.4,+0.3,+0.93,+0.93,Matches,2e64bb49
1913,Álvaro Medrán,es ESP,MF,Alavés,es La Liga,23,1994,17,947,56,27.7,10.5,9,87,7,8,21,4,1.06,10,18,-8,-0.76,-0.69,10.7,18.1,-7.4,-0.70,-0.34,Matches,31223bcf
1914,Álvaro Medrán,es ESP,MF,Valencia,es La Liga,23,1994,1,72,72,2.1,0.8,1,72,0,0,,1,3.00,1,0,+1,+1.25,+0.55,1.2,0.2,+0.9,+1.17,+0.99,Matches,31223bcf
