,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
729,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,24,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,0e12089d
730,Jimmy Durmaz,se SWE,MFFW,Toulouse,fr Ligue 1,28,1989,11.4,5,0,0,24,14,0,60,14,9,1,0,0,65,10,8,55.6,Matches,f09a8b75
731,Riza Durmisi,dk DEN,DF,Betis,es La Liga,23,1994,23.1,4,0,0,15,10,2,68,15,21,0,0,0,89,6,16,27.3,Matches,e5cd9da6
732,Hugo Duro,es ESP,FW,Getafe,es La Liga,17,1999,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0.0,Matches,37e103f8
733,Noë Dussenne,be BEL,FW,Crotone,it Serie A,25,1992,0.9,1,0,0,3,0,0,0,1,0,0,0,0,2,0,3,0.0,Matches,8b9b8e43
734,Paulo Dybala,ar ARG,MFFW,Juventus,it Serie A,23,1993,26.1,0,0,0,16,74,2,92,12,11,1,0,0,124,6,9,40.0,Matches,e0921a4f
735,Nathan Dyer,eng ENG,MFFW,Swansea City,eng Premier League,29,1987,14.5,2,0,0,17,20,1,33,11,16,0,0,0,82,5,26,16.1,Matches,6dfd5af0
736,Edin Džeko,ba BIH,FW,Roma,it Serie A,31,1986,33.5,6,0,0,37,28,19,19,4,10,1,0,0,80,109,64,63.0,Matches,3bb7f478
737,Blerim Džemaili,ch SUI,MFFW,Bologna,it Serie A,31,1986,13.3,4,0,0,13,19,1,10,18,19,0,0,0,69,9,6,60.0,Matches,756959aa
738,Félix Eboa Eboa,cm CMR,DF,Guingamp,fr Ligue 1,20,1997,16.9,2,0,0,16,8,0,13,39,11,0,1,0,89,63,32,66.3,Matches,167d5018
739,Éder,it ITA,FWMF,Inter,it Serie A,30,1986,8.9,4,0,0,25,15,7,17,5,7,1,0,0,31,10,14,41.7,Matches,5a325298
740,Simone Edera,it ITA,FWMF,Torino,it Serie A,20,1997,3.6,0,0,0,13,6,1,4,2,2,0,0,0,20,2,8,20.0,Matches,8697c095
741,Ederson,br BRA,GK,Manchester City,eng Premier League,23,1993,35.5,1,0,0,0,6,0,0,0,1,0,0,0,81,11,0,100.0,Matches,3bb7b8b4
742,Tom Edwards,eng ENG,DFMF,Stoke City,eng Premier League,18,1999,5.3,0,0,0,3,2,0,15,5,9,0,0,0,29,8,6,57.1,Matches,1b780599
743,Mandela Egbo,eng ENG,DFMF,M'Gladbach,de Bundesliga,19,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches,5603d397
744,Johannes Eggestein,de GER,FWDF,Werder Bremen,de Bundesliga,19,1998,1.1,0,0,0,0,2,0,3,1,0,0,0,0,4,0,7,0.0,Matches,d571df78
745,Maximilian Eggestein,de GER,MF,Werder Bremen,de Bundesliga,20,1996,29.9,3,0,0,48,45,2,26,40,48,0,0,0,107,54,56,49.1,Matches,beb882a8
746,Albin Ekdal,se SWE,MF,Hamburger SV,de Bundesliga,28,1989,12.3,3,0,0,14,33,2,0,21,28,0,0,0,65,28,30,48.3,Matches,f503ea63
747,Josip Elez,hr CRO,DF,Hannover 96,de Bundesliga,23,1994,8.6,1,0,0,9,3,0,3,16,8,0,0,0,42,11,21,34.4,Matches,eafac393
748,Rob Elliot,ie IRL,GK,Newcastle Utd,eng Premier League,31,1986,16.0,0,0,0,0,2,0,0,0,0,0,0,0,4,5,1,83.3,Matches,b1b25949
749,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,25,1992,9.6,3,1,0,4,6,1,8,10,6,0,0,0,79,6,13,31.6,Matches,47a34c4f
750,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,23,1994,17.7,1,0,0,21,11,3,9,45,20,0,0,0,69,41,28,59.4,Matches,f7dc2ae5
751,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,20,1996,32.4,6,0,0,19,30,1,23,51,46,1,0,0,129,86,48,64.2,Matches,48035304
752,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,23,1993,29.9,11,1,1,29,19,2,1,50,18,0,3,0,128,109,45,70.8,Matches,fd47b4f2
753,Breel Embolo,ch SUI,FWMF,Schalke 04,de Bundesliga,20,1997,10.2,4,0,0,42,30,11,7,6,10,2,0,0,38,13,30,30.2,Matches,0b4f388a
754,Youssef En-Nesyri,ma MAR,FW,Málaga,es La Liga,20,1997,17.7,2,1,1,34,33,14,19,9,25,0,0,0,54,78,115,40.4,Matches,04e17fd5
755,Sergi Enrich,es ESP,FW,Eibar,es La Liga,27,1990,14.8,2,0,0,20,28,20,5,6,8,2,0,1,58,64,81,44.1,Matches,bb4b1242
756,Javier Eraso,es ESP,MFFW,Leganés,es La Liga,27,1990,28.1,4,0,0,35,25,6,80,23,15,0,0,0,125,12,46,20.7,Matches,aec0fb6f
757,Christian Eriksen,dk DEN,MFFW,Tottenham,eng Premier League,25,1992,35.8,0,0,0,14,21,1,222,31,29,0,0,0,227,17,27,38.6,Matches,980522ec
758,Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,24,1993,17.4,3,0,0,25,16,0,10,32,35,0,0,0,110,46,39,54.1,Matches,3f79a1c8
759,Sergio Escudero,es ESP,DF,Sevilla,es La Liga,27,1989,25.9,10,0,0,34,38,1,41,66,49,0,0,0,157,56,37,60.2,Matches,b0616e3d
760,Bernardo Espinosa,co COL,DF,Girona,es La Liga,28,1989,31.9,7,0,0,40,16,3,1,66,22,0,1,0,126,102,50,67.1,Matches,4242011c
761,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,29,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,100.0,Matches,83e0eeb4
762,Alexander Esswein,de GER,FWMF,Hertha BSC,de Bundesliga,27,1990,6.9,0,0,0,15,13,7,15,9,16,0,0,0,17,9,8,52.9,Matches,b48215cd
763,Oghenekaro Etebo,ng NGA,MF,Las Palmas,es La Liga,21,1995,13.5,3,0,0,21,46,1,4,27,17,0,0,0,90,11,14,44.0,Matches,b579e83d
764,Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,30,1987,12.4,3,0,0,17,15,0,79,28,20,0,0,0,105,5,5,50.0,Matches,b037bd4f
765,Xabier Etxeita,es ESP,DF,Athletic Club,es La Liga,29,1987,4.2,2,0,0,10,2,0,0,7,2,0,0,0,17,6,9,40.0,Matches,4a895384
766,Jonny Evans,nir NIR,DF,West Brom,eng Premier League,29,1988,25.2,7,0,0,26,27,0,4,48,22,0,0,1,142,54,34,61.4,Matches,f8fcd2a5
767,Franck Evina,cm CMR,FW,Bayern Munich,de Bundesliga,17,2000,1.2,0,0,0,1,1,0,3,0,2,0,0,0,6,2,1,66.7,Matches,44e471ca
768,Patrice Evra,fr FRA,DFMF,West Ham,eng Premier League,36,1981,2.5,0,0,0,0,2,1,2,7,4,0,0,0,18,7,7,50.0,Matches,51a3caf1
769,Patrice Evra,fr FRA,DF,Marseille,fr Ligue 1,36,1981,3.9,2,0,0,4,2,3,6,3,5,0,0,0,18,10,4,71.4,Matches,51a3caf1
770,Edu Expósito,es ESP,MFFW,La Coruña,es La Liga,20,1996,1.1,1,0,0,2,1,0,0,2,0,0,0,0,8,0,1,0.0,Matches,283c7121
771,Erik Expósito,es ESP,FW,Las Palmas,es La Liga,21,1996,5.2,0,0,0,5,3,2,3,1,1,0,0,0,9,20,28,41.7,Matches,07d67579
772,Valentin Eysseric,fr FRA,FWMF,Fiorentina,it Serie A,25,1992,7.8,2,0,0,15,13,1,36,6,13,0,0,0,46,9,13,40.9,Matches,ae82fa48
773,Valentin Eysseric,fr FRA,FW,Nice,fr Ligue 1,25,1992,1.0,0,0,0,1,0,1,10,1,0,0,0,0,3,0,1,0.0,Matches,ae82fa48
774,Imoh Ezekiel,ng NGA,MFFW,Las Palmas,es La Liga,23,1993,5.2,0,0,0,6,7,2,11,2,6,0,0,0,21,3,14,17.6,Matches,9243fea6
775,Marco Fabián,mx MEX,MFFW,Eint Frankfurt,de Bundesliga,28,1989,4.7,0,0,0,10,8,2,12,3,3,0,0,0,18,5,12,29.4,Matches,e665a2db
776,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,32,1985,38.0,0,0,0,1,3,0,0,0,0,0,0,0,38,14,3,82.4,Matches,9328b835
777,Fabinho,br BRA,MF,Monaco,fr Ligue 1,23,1993,34.0,8,0,0,58,66,1,10,43,64,1,0,0,250,94,45,67.6,Matches,7f3b388c
778,Cesc Fàbregas,es ESP,MF,Chelsea,eng Premier League,30,1987,25.6,5,2,1,25,22,5,140,22,49,0,0,0,171,10,22,31.3,Matches,33508c78
779,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,28,1988,33.5,1,0,0,0,10,0,0,1,0,0,0,0,31,9,0,100.0,Matches,1e43fad8
780,Fayçal Fajr,ma MAR,MFFW,Getafe,es La Liga,28,1988,26.5,7,0,0,46,37,1,121,30,45,0,0,0,178,22,27,44.9,Matches,79135368
781,Radamel Falcao,co COL,FW,Monaco,fr Ligue 1,31,1986,23.7,1,0,0,41,50,9,8,10,6,0,0,1,82,37,69,34.9,Matches,66116290
782,Diego Falcinelli,it ITA,FW,Fiorentina,it Serie A,26,1991,4.9,0,0,0,13,17,1,6,1,1,0,0,0,11,13,26,33.3,Matches,a39b9ef6
783,Diego Falcinelli,it ITA,FW,Sassuolo,it Serie A,26,1991,14.6,2,0,0,27,53,10,9,2,4,0,0,0,29,39,41,48.8,Matches,a39b9ef6
784,Simon Falette,gn GUI,DF,Metz,fr Ligue 1,25,1992,1.0,0,0,0,1,0,0,0,1,0,0,0,0,10,2,1,66.7,Matches,b82880c6
785,Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,25,1992,24.6,10,1,0,39,25,0,10,58,30,0,0,0,104,72,32,69.2,Matches,b82880c6
786,Cesar Falletti,uy URU,MFFW,Bologna,it Serie A,24,1992,3.6,1,0,0,5,10,0,11,0,7,0,0,0,19,1,3,25.0,Matches,00823e9a
787,Iago Falque,es ESP,FWMF,Torino,it Serie A,27,1990,31.3,2,0,0,28,36,9,123,15,31,0,0,0,148,13,41,24.1,Matches,440c84ed
788,Paolo Faragò,it ITA,DF,Cagliari,it Serie A,24,1993,27.3,2,0,0,53,60,3,120,23,67,1,2,0,156,71,43,62.3,Matches,9085dd7c
789,Imad Faraj,ma MAR,MFDF,Lille,fr Ligue 1,18,1999,1.8,0,0,0,1,3,1,7,4,2,0,0,0,9,2,3,40.0,Matches,b396a0b1
790,Davide Faraoni,it ITA,DFMF,Crotone,it Serie A,25,1991,19.5,3,0,0,18,26,0,54,58,39,0,1,0,160,18,22,45.0,Matches,aae9d04a
791,Mohamed Fares,dz ALG,DFMF,Hellas Verona,it Serie A,21,1996,28.9,12,0,0,67,20,1,81,50,33,0,1,1,148,62,66,48.4,Matches,b7a5bc86
792,Diego Farias,br BRA,FWMF,Cagliari,it Serie A,27,1990,17.9,4,0,0,28,24,15,35,8,15,0,0,0,75,8,15,34.8,Matches,157d29b6
793,Federico Fazio,ar ARG,DF,Roma,it Serie A,30,1987,32.5,6,0,0,24,21,0,5,46,43,0,0,0,214,147,40,78.6,Matches,4e358a2d
794,Zouhair Feddal,ma MAR,DF,Betis,es La Liga,28,1989,14.0,7,0,0,20,16,1,3,36,14,0,0,1,73,27,17,61.4,Matches,89151b16
795,Nabil Fekir,fr FRA,MFFW,Lyon,fr Ligue 1,24,1993,27.5,8,0,0,72,105,17,99,8,33,1,0,0,131,19,25,43.2,Matches,bece776f
796,Felipe,br BRA,DF,Hannover 96,de Bundesliga,30,1987,5.1,0,0,0,9,9,0,4,11,8,0,0,0,14,12,5,70.6,Matches,de164de6
797,Luiz Felipe,it ITA,DF,Lazio,it Serie A,20,1997,13.0,6,0,0,19,9,0,2,18,28,0,2,0,72,17,14,54.8,Matches,15d0c248
798,Ohis Felix Uduokhai,de GER,DF,Wolfsburg,de Bundesliga,19,1997,17.3,2,1,1,18,11,1,1,34,23,0,0,0,67,36,22,62.1,Matches,677da306
799,Marouane Fellaini,be BEL,MF,Manchester Utd,eng Premier League,29,1987,7.6,1,0,0,13,12,3,3,14,8,0,0,0,46,37,25,59.7,Matches,87575fd9
800,Kiko Femenía,es ESP,DFFW,Watford,eng Premier League,26,1991,19.0,2,0,0,7,21,2,60,34,28,0,0,0,108,10,15,40.0,Matches,e5d01ecf
801,Leroy Fer,nl NED,MF,Swansea City,eng Premier League,27,1990,15.5,5,0,0,28,26,1,8,12,32,0,0,0,76,41,22,65.1,Matches,3cefa66a
802,Julien Féret,fr FRA,MF,Caen,fr Ligue 1,35,1982,34.0,3,0,0,22,32,0,129,49,27,1,1,0,287,86,61,58.5,Matches,ac62861c
803,Edimilson Fernandes,ch SUI,MFDF,West Ham,eng Premier League,21,1996,9.4,1,0,0,5,11,0,7,16,9,0,0,0,49,10,16,38.5,Matches,3bb625ac
804,Gelson Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,30,1986,11.5,4,0,0,33,1,0,0,16,46,0,0,0,64,8,14,36.4,Matches,8e58987d
805,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,30,1986,2.5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,100.0,Matches,307fcd26
806,Augusto Fernández,ar ARG,MF,Atlético Madrid,es La Liga,31,1986,1.2,1,0,0,1,1,0,0,2,2,0,0,0,12,2,2,50.0,Matches,78c40e94
807,Brian Fernández,ar ARG,FW,Metz,fr Ligue 1,22,1994,1.4,0,0,0,1,4,6,3,0,0,0,0,0,2,2,0,100.0,Matches,857e2586
808,Carlos Fernández,es ESP,FW,Sevilla,es La Liga,21,1996,1.5,0,0,0,4,1,0,0,0,1,0,0,0,3,2,3,40.0,Matches,e08647d6
809,Enzo Fernández,es ESP,MF,Alavés,es La Liga,22,1995,0.8,0,0,0,0,0,1,0,0,2,0,0,0,8,0,3,0.0,Matches,4cafb146
810,Federico Fernández,ar ARG,DF,Swansea City,eng Premier League,28,1989,29.7,5,0,0,29,21,2,4,38,29,0,2,1,129,72,60,54.5,Matches,f25b010f
811,Raúl Fernández,es ESP,GK,Levante,es La Liga,29,1988,11.0,0,0,0,0,2,0,0,0,0,0,0,0,9,2,0,100.0,Matches,6fb59070
812,Fernandinho,br BRA,MF,Manchester City,eng Premier League,32,1985,32.0,7,0,0,41,27,0,9,47,35,0,0,0,207,93,72,56.4,Matches,101da2b5
813,Alex Ferrari,it ITA,DF,Hellas Verona,it Serie A,23,1994,23.7,5,0,0,19,25,0,18,47,54,0,0,0,115,52,41,55.9,Matches,d0dbca9f
814,Jordan Ferri,fr FRA,MF,Lyon,fr Ligue 1,25,1992,7.1,4,0,0,16,9,0,5,5,11,0,0,0,50,6,6,50.0,Matches,375622c5
815,Sam Field,eng ENG,MF,West Brom,eng Premier League,19,1998,6.0,3,0,0,11,7,0,8,11,11,0,0,0,28,8,7,53.3,Matches,bd8a7d05
816,Afonso Figueiredo,pt POR,DFFW,Rennes,fr Ligue 1,24,1993,2.5,1,0,0,3,7,0,4,0,3,0,0,0,20,2,2,50.0,Matches,f51edbf3
817,Gian Filippo Felicioli,it ITA,MFDF,Hellas Verona,it Serie A,19,1997,3.1,1,0,0,4,6,2,8,5,8,0,0,0,18,1,4,20.0,Matches,ff219f73
818,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,28,1989,20.2,2,0,0,34,16,12,4,14,13,1,0,0,59,17,63,21.3,Matches,f9e7c4ac
819,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,25,1991,30.7,1,0,0,57,18,13,43,18,50,1,0,0,139,46,131,26.0,Matches,4c370d81
820,Junior Firpo,es ESP,DF,Betis,es La Liga,20,1996,13.2,4,0,0,17,16,0,13,20,17,0,0,0,56,19,14,57.6,Matches,24f59bb2
821,Viktor Fischer,dk DEN,FWMF,Mainz 05,de Bundesliga,23,1994,3.7,1,0,0,4,2,3,5,3,4,0,0,0,21,2,8,20.0,Matches,b5920350
822,Mathieu Flamini,fr FRA,MF,Getafe,es La Liga,33,1984,5.3,2,1,1,15,1,0,3,8,5,0,0,0,27,12,3,80.0,Matches,148d4105
823,Darren Fletcher,sct SCO,MF,Stoke City,eng Premier League,33,1984,24.7,0,0,0,14,25,0,49,26,26,0,0,0,133,21,21,50.0,Matches,184e4970
824,Sergio Floccari,it ITA,FW,SPAL,it Serie A,35,1981,9.8,0,0,0,15,23,11,10,2,9,1,0,0,33,25,56,30.9,Matches,df301450
825,Alessandro Florenzi,it ITA,DF,Roma,it Serie A,26,1991,26.5,2,0,0,15,14,2,144,44,28,0,0,0,165,15,30,33.3,Matches,e288d4b3
826,Phil Foden,eng ENG,MFFW,Manchester City,eng Premier League,17,2000,0.5,0,0,0,1,3,0,4,0,1,0,0,0,0,0,3,0.0,Matches,ed1e53f3
827,Guessouma Fofana,mr MTN,MF,Amiens,fr Ligue 1,24,1992,8.3,3,1,0,20,8,0,7,12,13,0,0,0,52,14,16,46.7,Matches,9dafff2a
828,Seko Fofana,ci CIV,MF,Udinese,it Serie A,22,1995,20.8,4,1,0,27,15,0,9,27,17,2,0,0,165,9,10,47.4,Matches,5313ed43
829,Andreu Fontàs,es ESP,DF,Celta Vigo,es La Liga,27,1989,9.8,2,0,0,7,0,0,0,14,9,0,0,0,51,10,14,41.7,Matches,0f138d5a
830,José Fonte,pt POR,DF,West Ham,eng Premier League,33,1983,7.6,0,0,0,6,5,0,3,14,6,0,1,0,32,21,19,52.5,Matches,90f87966
831,Pablo Fornals,es ESP,MFFW,Villarreal,es La Liga,21,1996,29.1,4,0,0,34,32,2,30,22,33,0,0,0,195,28,35,44.4,Matches,82927de4
832,Emil Forsberg,se SWE,MF,RB Leipzig,de Bundesliga,25,1991,15.2,0,1,0,16,23,0,87,8,17,0,0,0,63,6,14,30.0,Matches,9a2e0ccc
833,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,29,1988,20.0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,,Matches,c3e39f12
834,Steven Fortes,cv CPV,DF,Toulouse,fr Ligue 1,25,1992,1.7,1,0,0,3,0,0,0,3,2,0,0,0,17,1,2,33.3,Matches,574aa9ec
835,Marco Fossati,it ITA,MF,Hellas Verona,it Serie A,24,1992,12.2,5,0,0,14,19,0,15,23,13,0,0,0,80,9,18,33.3,Matches,39bec070
836,Iver Fossum,no NOR,MF,Hannover 96,de Bundesliga,21,1996,14.5,0,0,0,13,6,0,30,15,19,0,0,0,60,18,27,40.0,Matches,ce218223
837,Ben Foster,eng ENG,GK,West Brom,eng Premier League,34,1983,37.0,2,0,0,1,3,0,0,1,0,0,0,0,55,4,0,100.0,Matches,d0b3ceb9
838,Timothy Fosu-Mensah,nl NED,DF,Crystal Palace,eng Premier League,19,1998,17.7,2,0,0,18,13,0,17,31,33,0,0,0,97,19,22,46.3,Matches,a9142dc3
839,Dimitri Foulquier,fr FRA,DF,Strasbourg,fr Ligue 1,24,1993,13.8,2,0,0,20,7,1,25,14,12,0,0,0,75,5,8,38.5,Matches,45e17712
840,Lilian Fournier,fr FRA,FW,Metz,fr Ligue 1,19,1998,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,5aca2a18
841,Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,21,1995,7.7,3,0,0,8,10,0,36,14,18,0,0,0,29,11,11,50.0,Matches,626fab5f
842,Simon Francis,eng ENG,DF,Bournemouth,eng Premier League,32,1985,30.1,9,2,1,24,15,1,78,49,34,0,0,0,159,142,73,66.0,Matches,1e0b6a73
843,Mike Frantz,de GER,MF,Freiburg,de Bundesliga,30,1986,11.6,0,0,0,20,18,0,12,13,16,0,0,0,17,25,22,53.2,Matches,482b70ad
844,Ryan Fraser,sct SCO,MFDF,Bournemouth,eng Premier League,23,1994,22.3,0,0,0,6,45,1,138,17,8,0,0,0,103,8,25,24.2,Matches,d56543a0
845,Fabian Frei,ch SUI,MF,Mainz 05,de Bundesliga,28,1989,8.9,1,0,0,12,9,0,1,16,15,0,0,0,35,6,6,50.0,Matches,9fb640a8
846,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,25,1992,33.4,4,1,0,39,46,1,44,28,62,0,0,0,255,27,29,48.2,Matches,98d2c2c4
847,Marco Friedl,at AUT,MF,Bayern Munich,de Bundesliga,19,1998,0.5,0,0,0,0,2,0,6,1,0,0,0,0,3,1,0,100.0,Matches,f86ad3f5
848,Marco Friedl,at AUT,DFMF,Werder Bremen,de Bundesliga,19,1998,6.7,0,0,0,5,9,0,12,8,8,0,0,0,28,8,6,57.1,Matches,f86ad3f5
849,Christian Fuchs,at AUT,DF,Leicester City,eng Premier League,31,1986,21.3,1,0,0,12,4,0,71,58,27,0,0,1,132,61,37,62.2,Matches,a67a09fb
850,Javi Fuego,es ESP,MF,Villarreal,es La Liga,33,1984,6.0,2,0,0,13,8,0,1,3,13,0,1,0,40,8,10,44.4,Matches,2e8fc160
851,Javi Fuego,es ESP,MF,Espanyol,es La Liga,33,1984,14.9,6,0,0,24,26,0,0,19,25,0,0,0,79,27,21,56.3,Matches,2e8fc160
852,Chris Führich,de GER,MF,Köln,de Bundesliga,19,1998,1.1,0,0,0,0,1,0,0,0,3,0,0,0,5,1,1,50.0,Matches,0cf778df
853,Angelo Fulgini,fr FRA,MF,Angers,fr Ligue 1,20,1996,17.0,4,0,0,19,33,1,57,20,11,1,0,0,102,9,34,20.9,Matches,4b96c347
854,Niclas Füllkrug,de GER,FW,Hannover 96,de Bundesliga,24,1993,26.5,2,0,0,60,46,11,17,8,11,0,0,0,65,153,132,53.7,Matches,4f16405e
855,Jay Fulton,sct SCO,MF,Swansea City,eng Premier League,23,1994,0.2,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,,Matches,434ad289
856,Ramiro Funes Mori,ar ARG,DF,Everton,eng Premier League,26,1991,1.3,1,0,0,3,2,0,0,3,0,0,0,0,9,7,4,63.6,Matches,89cbc961
857,Manolo Gabbiadini,it ITA,FW,Southampton,eng Premier League,25,1991,12.0,2,0,0,14,7,10,5,4,2,0,0,0,22,14,36,28.0,Matches,8f866fe8
858,Gabi,es ESP,MF,Atlético Madrid,es La Liga,34,1983,26.1,8,0,0,51,23,1,45,44,49,0,1,0,235,17,16,51.5,Matches,65d750b5
859,Gabriel,br BRA,MF,Leganés,es La Liga,23,1993,26.4,6,1,0,56,51,1,14,38,69,1,0,0,208,110,87,55.8,Matches,0d10333c
860,Mijat Gaćinović,rs SRB,MFFW,Eint Frankfurt,de Bundesliga,22,1995,20.2,4,0,0,25,36,1,38,39,44,1,0,0,116,16,29,35.6,Matches,16daec92
861,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,23,1994,22.1,8,0,0,47,35,1,13,45,45,0,0,0,147,61,29,67.8,Matches,ce30bfc8
862,Nicolás Gaitán,ar ARG,MFFW,Atlético Madrid,es La Liga,29,1988,2.4,0,0,0,1,4,1,9,1,6,0,0,0,11,4,7,36.4,Matches,7ebfac0f
863,Milan Gajić,rs SRB,DF,Bordeaux,fr Ligue 1,21,1996,4.0,0,0,0,4,0,1,7,4,3,0,0,0,16,4,5,44.4,Matches,9f6325f9
864,Serge Gakpé,tg TOG,FWMF,Amiens,fr Ligue 1,30,1987,20.3,1,0,0,18,16,8,27,10,11,0,0,0,89,17,38,30.9,Matches,cf4053e2
865,Andrey Galabinov,bg BUL,FW,Genoa,it Serie A,28,1988,12.5,2,0,0,26,15,16,7,2,5,1,0,0,37,54,62,46.6,Matches,0a1efd3c
866,Álex Gálvez,es ESP,DF,Las Palmas,es La Liga,28,1989,18.0,5,1,0,34,18,4,2,43,36,0,1,0,137,39,30,56.5,Matches,960fb42d
867,Álex Gálvez,es ESP,DF,Eibar,es La Liga,28,1989,4.0,1,0,0,2,2,1,0,13,4,0,1,0,29,12,3,80.0,Matches,960fb42d
868,Bruno Gama,pt POR,FWMF,La Coruña,es La Liga,29,1987,1.3,1,0,0,5,4,0,5,0,1,1,0,0,2,0,1,0.0,Matches,6cffc9df
869,Alessandro Gamberini,it ITA,DF,Chievo,it Serie A,35,1981,20.2,2,0,0,10,9,0,0,16,8,0,1,0,67,48,32,60.0,Matches,8ec95452
870,Kévin Gameiro,fr FRA,FW,Atlético Madrid,es La Liga,30,1987,12.5,0,0,0,9,9,12,2,4,9,0,0,0,30,9,28,24.3,Matches,42276181
871,Jesús Gámez,es ESP,DF,Newcastle Utd,eng Premier League,32,1985,1.1,0,0,0,0,1,0,5,2,2,0,0,0,6,1,0,100.0,Matches,bd1d1cbb
872,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,27,1989,30.6,7,2,1,50,52,1,11,62,93,0,0,0,287,33,32,50.8,Matches,72c812f3
873,Ignatius Ganago,cm CMR,FWMF,Nice,fr Ligue 1,18,1999,0.8,1,0,0,4,1,0,0,0,0,0,0,0,1,3,3,50.0,Matches,23c63b7f
874,Najib Gandi,fr FRA,FWMF,Nantes,fr Ligue 1,23,1994,1.1,1,0,0,2,3,4,1,4,5,0,0,0,15,1,2,33.3,Matches,56b52c4e
875,Ganso,br BRA,MF,Sevilla,es La Liga,27,1989,5.8,0,0,0,5,11,0,5,2,11,0,0,0,42,2,10,16.7,Matches,23593121
876,Ezequiel Garay,ar ARG,DF,Valencia,es La Liga,30,1986,22.5,5,0,0,22,15,1,3,24,12,0,0,0,101,43,22,66.2,Matches,ac3fb1be
877,Aleix García,es ESP,MF,Girona,es La Liga,20,1997,9.5,3,0,0,5,5,0,39,17,14,0,0,0,84,10,2,83.3,Matches,a10361d2
878,Borja García,es ESP,MF,Girona,es La Liga,26,1990,31.1,2,0,0,26,110,0,94,30,18,0,0,0,190,12,29,29.3,Matches,e7f4603c
879,Dani García,es ESP,MF,Eibar,es La Liga,27,1990,30.8,14,0,0,46,25,0,12,70,59,0,1,0,235,42,27,60.9,Matches,240d3a0b
880,David García,es ESP,DF,Las Palmas,es La Liga,35,1982,9.6,2,0,0,11,14,0,3,19,10,0,0,0,45,14,9,60.9,Matches,1250086e
881,Javi García,es ESP,MFDF,Betis,es La Liga,30,1987,26.8,7,0,0,33,33,1,0,25,22,0,0,0,141,47,31,60.3,Matches,167c1bb0
882,Manu García,es ESP,MF,Alavés,es La Liga,31,1986,27.1,9,0,0,65,72,5,12,35,65,0,0,0,181,69,54,56.1,Matches,05a4465d
883,Raúl García,es ESP,MFFW,Athletic Club,es La Liga,31,1986,29.2,10,0,0,79,74,16,40,30,51,2,0,0,121,121,87,58.2,Matches,b418dbd4
884,Raúl García,es ESP,DF,Leganés,es La Liga,28,1989,15.5,1,0,0,10,17,0,74,19,25,0,0,0,94,13,15,46.4,Matches,1a317a1b
885,Samu García,es ESP,MF,Málaga,es La Liga,27,1990,2.0,1,1,0,11,4,1,8,6,6,0,0,0,11,2,3,40.0,Matches,5f7db81a
886,Samu García,es ESP,FWMF,Levante,es La Liga,27,1990,2.1,1,0,0,11,2,0,4,1,7,0,0,0,7,2,6,25.0,Matches,5f7db81a
887,Sergio García,es ESP,FWMF,Espanyol,es La Liga,34,1983,18.2,4,0,0,18,35,13,19,10,12,0,0,0,65,16,34,32.0,Matches,2bee98fd
888,Ulisses Garcia,ch SUI,FW,Werder Bremen,de Bundesliga,21,1996,1.0,0,0,0,4,0,0,0,0,1,0,0,0,5,2,0,100.0,Matches,c952f633
889,Luca Garritano,it ITA,MFFW,Chievo,it Serie A,23,1994,2.1,0,0,0,5,3,1,14,1,3,0,0,0,6,3,4,42.9,Matches,1ceeae3e
