,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
2330,Islam Slimani,dz ALG,FW,Leicester City,eng Premier League,29,1988,2.8,116,114,1,0,0,0,3,0,0,0,0,0,78,1,6,Matches,ffec9769
2331,Islam Slimani,dz ALG,FW,Newcastle Utd,eng Premier League,29,1988,1.5,49,49,0,0,2,1,4,0,0,0,0,0,29,0,3,Matches,ffec9769
2332,Naïm Sliti,tn TUN,FWMF,Dijon,fr Ligue 1,25,1992,25.4,930,764,153,61,17,6,112,10,72,23,29,1,625,13,32,Matches,2e0367a6
2333,Chris Smalling,eng ENG,DF,Manchester Utd,eng Premier League,27,1989,28.2,1140,1122,17,15,0,2,0,2,0,0,0,0,998,1,10,Matches,b6964eb6
2334,Adam Smith,eng ENG,DFMF,Bournemouth,eng Premier League,26,1991,23.0,1119,920,198,21,1,7,35,171,6,2,0,0,898,1,27,Matches,20b104bc
2335,Tommy Smith,eng ENG,DF,Huddersfield,eng Premier League,25,1992,21.2,1118,835,280,21,1,1,64,259,0,0,0,0,773,3,29,Matches,e9208654
2336,Wesley Sneijder,nl NED,MFFW,Nice,fr Ligue 1,33,1984,4.4,311,278,31,12,1,2,24,3,12,5,7,0,248,2,6,Matches,ad625c12
2337,Cédric Soares,pt POR,DF,Southampton,eng Premier League,25,1991,31.0,1760,1381,374,31,2,19,137,343,0,0,0,0,1273,5,49,Matches,839c14e1
2338,Ramadan Sobhi,eg EGY,MFFW,Stoke City,eng Premier League,20,1997,13.8,452,433,18,2,1,0,16,14,0,0,0,0,340,1,15,Matches,98be0d02
2339,Rubén Sobrino,es ESP,FWMF,Alavés,es La Liga,25,1992,16.3,407,396,7,0,0,1,13,1,0,0,0,0,290,4,14,Matches,19b776e9
2340,Dominic Solanke,eng ENG,FW,Liverpool,eng Premier League,19,1997,6.6,201,193,7,0,3,0,3,0,0,0,0,0,148,1,5,Matches,e77dc3b2
2341,Carlos Soler,es ESP,MF,Valencia,es La Liga,20,1997,26.3,1002,978,20,14,4,9,54,2,4,1,2,0,814,4,26,Matches,fed17f5a
2342,Somália,br BRA,MFFW,Toulouse,fr Ligue 1,28,1988,22.2,643,617,23,3,2,2,32,19,0,0,0,0,482,3,20,Matches,c1febb46
2343,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,28,1988,29.2,1256,943,312,66,0,2,0,0,0,0,0,0,918,1,1,Matches,420c18a1
2344,Kévin Soni,cm CMR,MF,Girona,es La Liga,19,1998,0.2,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,6435143e
2345,Jérémy Sorbon,fr FRA,DF,Guingamp,fr Ligue 1,33,1983,29.0,1110,1046,59,58,0,12,0,1,0,0,0,0,954,5,5,Matches,7768df30
2346,Oliver Sorg,de GER,DFMF,Hannover 96,de Bundesliga,27,1990,18.7,759,668,88,14,0,6,25,74,0,0,0,0,523,3,16,Matches,541cdd20
2347,David Soria,es ESP,GK,Sevilla,es La Liga,24,1993,14.0,377,247,130,32,0,0,0,0,0,0,0,0,273,0,0,Matches,8f8c6934
2348,Roberto Soriano,it ITA,MFFW,Villarreal,es La Liga,26,1991,12.7,511,496,8,2,3,2,18,2,3,0,1,0,395,7,18,Matches,9d4c45d6
2349,Stefano Sorrentino,it ITA,GK,Chievo,it Serie A,38,1979,38.0,1196,657,536,142,0,1,0,0,0,0,0,0,777,3,0,Matches,048877f5
2350,Pape Souaré,sn SEN,DF,Crystal Palace,eng Premier League,27,1990,0.1,11,9,2,0,0,0,0,2,0,0,0,0,9,0,0,Matches,46b5375e
2351,Rayan Souici,fr FRA,MF,Saint-Étienne,fr Ligue 1,19,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches,e3ad3368
2352,Adama Soumaoro,fr FRA,DF,Lille,fr Ligue 1,25,1992,13.2,586,561,22,21,0,0,0,1,0,0,0,0,540,3,1,Matches,7b075c75
2353,Boubakary Soumaré,fr FRA,MF,Lille,fr Ligue 1,18,1999,5.7,347,344,2,2,1,0,1,0,0,0,0,0,295,1,7,Matches,ae59b359
2354,Samuel Souprayen,fr FRA,DF,Hellas Verona,it Serie A,28,1989,17.6,850,710,137,20,1,4,13,117,0,0,0,0,693,3,12,Matches,f7c9fcd6
2355,Arnaud Souquet,fr FRA,DF,Nice,fr Ligue 1,25,1992,26.8,1666,1397,268,35,2,11,59,233,0,0,0,0,1423,1,32,Matches,4e0afc5d
2356,Çağlar Söyüncü,tr TUR,DF,Freiburg,de Bundesliga,21,1996,23.9,1146,1093,53,51,0,21,2,2,0,0,0,0,930,0,18,Matches,21166ff4
2357,Luca Sparandeo,it ITA,DF,Benevento,it Serie A,17,1999,0.4,16,16,0,0,0,1,0,0,0,0,0,0,14,0,0,Matches,dfbb3234
2358,Julián Speroni,ar ARG,GK,Crystal Palace,eng Premier League,38,1979,11.0,312,180,132,43,0,1,0,0,0,0,0,0,148,0,0,Matches,8e65a5e5
2359,Leonardo Spinazzola,it ITA,DF,Atalanta,it Serie A,24,1993,16.7,980,857,122,14,1,10,65,108,0,0,0,0,741,1,38,Matches,3626daea
2360,Nicolás Spolli,ar ARG,DF,Genoa,it Serie A,34,1983,20.0,634,602,28,28,0,2,0,0,0,0,0,0,550,4,3,Matches,9a560ebe
2361,Marco Sportiello,it ITA,GK,Fiorentina,it Serie A,25,1992,35.6,1049,700,343,73,0,1,0,0,0,0,0,0,791,6,0,Matches,ac4003af
2362,Bassem Srarfi,tn TUN,FWMF,Nice,fr Ligue 1,20,1997,9.7,373,370,3,2,0,4,17,0,1,0,0,0,302,0,17,Matches,84549a07
2363,Kostas Stafylidis,gr GRE,DFMF,Stoke City,eng Premier League,23,1993,3.7,147,102,44,2,0,0,10,42,0,0,0,0,98,1,5,Matches,861e0116
2364,Kostas Stafylidis,gr GRE,FWDF,Augsburg,de Bundesliga,23,1993,0.4,10,6,4,0,0,0,0,4,0,0,0,0,4,0,1,Matches,861e0116
2365,Benjamin Stambouli,fr FRA,DFMF,Schalke 04,de Bundesliga,26,1990,24.4,1373,1325,41,39,2,10,2,2,0,0,0,0,1074,7,25,Matches,5939baa2
2366,Junior Stanislas,eng ENG,MFFW,Bournemouth,eng Premier League,27,1989,14.3,571,509,57,12,4,2,71,6,38,23,13,0,398,5,33,Matches,6992791d
2367,Caleb Stanko,us USA,DF,Freiburg,de Bundesliga,24,1993,2.1,130,128,2,2,0,1,0,0,0,0,0,0,103,0,5,Matches,381e52af
2368,Niklas Stark,de GER,DFMF,Hertha BSC,de Bundesliga,22,1995,24.6,1071,1019,47,47,0,5,2,0,0,0,0,0,859,5,8,Matches,aad48be9
2369,Tom Starke,de GER,GK,Bayern Munich,de Bundesliga,36,1981,2.0,57,47,10,1,0,0,0,0,0,0,0,0,39,0,0,Matches,5b52d1f7
2370,Timo Stavitski,fi FIN,MFFW,Caen,fr Ligue 1,18,1999,4.5,128,128,0,0,0,0,19,0,0,0,0,0,84,0,7,Matches,6fb7edd3
2371,Renato Steffen,ch SUI,FWMF,Wolfsburg,de Bundesliga,25,1991,7.3,232,217,14,1,0,6,9,13,0,0,0,0,179,1,7,Matches,dd669209
2372,Marc Stendera,de GER,MF,Eint Frankfurt,de Bundesliga,21,1995,4.1,164,147,15,7,0,4,8,2,6,0,4,0,110,2,5,Matches,500cd987
2373,Pascal Stenzel,de GER,MFDF,Freiburg,de Bundesliga,21,1996,21.6,1109,849,255,33,0,29,42,217,5,5,0,0,863,5,33,Matches,99f7e9aa
2374,Dale Stephens,eng ENG,MF,Brighton,eng Premier League,28,1989,36.0,1763,1726,31,9,3,27,0,0,0,0,0,0,1472,6,13,Matches,653ee42d
2375,Jack Stephens,eng ENG,DF,Southampton,eng Premier League,23,1994,22.0,983,906,76,31,1,9,9,45,0,0,0,0,737,1,21,Matches,6adbc307
2376,Mariusz Stępiński,pl POL,FW,Chievo,it Serie A,22,1995,7.9,155,148,6,0,0,0,1,2,0,0,0,0,112,1,4,Matches,7b536033
2377,Mariusz Stępiński,pl POL,FW,Nantes,fr Ligue 1,22,1995,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,7b536033
2378,Raheem Sterling,eng ENG,FW,Manchester City,eng Premier League,22,1994,28.7,1221,1199,19,1,9,4,39,9,6,2,1,0,998,3,49,Matches,b400bde0
2379,Ognjen Stijepović,me MNE,FWMF,Sampdoria,it Serie A,17,1999,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,80ad4216
2380,Lars Stindl,de GER,FWMF,M'Gladbach,de Bundesliga,28,1988,30.3,1626,1558,57,8,4,11,19,12,8,1,7,0,1330,11,53,Matches,7cd6badb
2381,Valentin Stocker,ch SUI,MF,Hertha BSC,de Bundesliga,28,1989,0.6,18,17,0,0,0,0,1,0,0,0,0,0,11,1,1,Matches,6b85f966
2382,Adrian Stoian,ro ROU,MFFW,Crotone,it Serie A,26,1991,23.7,1055,1004,44,18,7,4,68,15,9,6,1,1,644,7,45,Matches,4468b31a
2383,John Stones,eng ENG,DF,Manchester City,eng Premier League,23,1994,14.5,1250,1224,26,23,0,10,1,3,0,0,0,0,1197,0,2,Matches,5eecec3d
2384,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,22,1995,38.0,1197,812,379,72,0,3,0,0,0,0,0,0,900,6,3,Matches,339fe0e8
2385,Ivan Strinić,hr CRO,DF,Sampdoria,it Serie A,30,1987,13.9,849,720,127,17,0,1,55,108,2,2,0,0,660,2,28,Matches,52e2ef8f
2386,Tobias Strobl,de GER,MF,M'Gladbach,de Bundesliga,27,1990,1.3,69,69,0,0,0,0,0,0,0,0,0,0,60,0,0,Matches,17780d2b
2387,Kevin Strootman,nl NED,MF,Roma,it Serie A,27,1990,25.1,1488,1423,58,36,5,6,24,21,1,0,0,0,1248,7,19,Matches,ef2e5e1a
2388,Jens Stryger Larsen,dk DEN,DF,Udinese,it Serie A,26,1991,28.1,1356,1137,215,38,0,9,23,176,1,0,0,1,1099,4,21,Matches,f91e81c9
2389,Cristhian Stuani,uy URU,FW,Girona,es La Liga,30,1986,30.1,500,425,72,0,1,3,4,0,0,0,0,0,329,3,9,Matches,220c11f1
2390,Stefano Sturaro,it ITA,MFDF,Juventus,it Serie A,24,1993,6.8,289,269,17,8,1,9,4,8,1,0,0,0,231,3,8,Matches,2334478a
2391,Daniel Sturridge,eng ENG,FW,West Brom,eng Premier League,27,1989,1.3,33,30,3,0,1,0,2,0,0,0,0,0,23,0,0,Matches,1b7ec703
2392,Daniel Sturridge,eng ENG,FW,Liverpool,eng Premier League,27,1989,4.8,130,123,6,1,0,1,2,0,0,0,0,0,103,1,3,Matches,1b7ec703
2393,Damián Suárez,uy URU,DF,Getafe,es La Liga,29,1988,32.0,1698,1125,564,97,5,38,95,422,45,6,24,0,1175,9,54,Matches,ba5004e1
2394,Denis Suárez,es ESP,MFFW,Barcelona,es La Liga,23,1994,6.6,387,351,31,7,3,1,21,3,21,8,9,0,312,5,6,Matches,12c50af5
2395,Leonardo Suárez,ar ARG,MF,Villarreal,es La Liga,21,1996,0.3,12,12,0,0,0,0,1,0,0,0,0,0,9,0,0,Matches,25c72b36
2396,Luis Suárez,uy URU,FW,Barcelona,es La Liga,30,1987,32.2,1080,1009,64,2,11,14,12,7,1,0,0,0,818,7,31,Matches,a6154613
2397,Danijel Subašić,hr CRO,GK,Monaco,fr Ligue 1,32,1984,32.7,921,561,359,94,0,6,0,0,0,0,0,0,642,1,1,Matches,f6db3bd5
2398,Neven Subotić,rs SRB,DF,Saint-Étienne,fr Ligue 1,28,1988,16.0,833,821,11,11,1,4,1,0,0,0,0,0,712,1,4,Matches,821233cc
2399,Neven Subotić,rs SRB,DF,Dortmund,de Bundesliga,28,1988,3.0,257,250,7,7,0,4,0,0,0,0,0,0,219,0,1,Matches,821233cc
2400,Isaac Success,ng NGA,MFFW,Málaga,es La Liga,21,1996,5.5,143,142,1,1,4,2,10,0,0,0,0,0,81,0,6,Matches,f573a8bf
2401,Niklas Süle,de GER,DF,Bayern Munich,de Bundesliga,21,1995,21.4,1621,1581,39,35,2,19,5,4,0,0,0,0,1497,1,3,Matches,e33c06cf
2402,Ki Sung-yueng,kr KOR,MF,Swansea City,eng Premier League,28,1989,20.8,903,800,100,55,1,18,62,2,42,31,9,0,758,3,11,Matches,1d8c99b0
2403,Gilles Sunu,tg TOG,MFFW,Angers,fr Ligue 1,26,1991,7.3,257,246,10,2,0,2,19,5,0,0,0,0,194,1,12,Matches,beff5d14
2404,Andrew Surman,eng ENG,MF,Bournemouth,eng Premier League,30,1986,20.6,1199,1139,59,39,2,10,21,0,18,13,0,0,997,1,13,Matches,7d41b619
2405,Markel Susaeta,es ESP,FWMF,Athletic Club,es La Liga,29,1987,25.2,1013,868,142,48,2,12,154,8,85,36,44,0,746,3,31,Matches,6fd1ba62
2406,Suso,es ESP,FWMF,Milan,it Serie A,23,1993,31.4,1649,1501,142,23,10,45,219,25,93,54,5,1,1199,6,69,Matches,4e219ad2
2407,Markus Suttner,at AUT,DF,Brighton,eng Premier League,30,1987,13.1,613,470,140,9,1,3,45,127,4,4,0,0,435,3,13,Matches,7391c2d9
2408,Seydou Sy,sn SEN,GK,Monaco,fr Ligue 1,21,1995,2.8,93,46,46,10,0,0,0,0,0,0,0,0,60,1,0,Matches,8417953b
2409,Issiaga Sylla,gn GUI,DFFW,Toulouse,fr Ligue 1,23,1994,17.8,857,695,155,15,0,3,73,139,1,0,1,0,606,7,25,Matches,b99bec05
2410,Moussa Sylla,fr FRA,FW,Monaco,fr Ligue 1,17,1999,3.4,69,64,5,0,1,0,2,1,0,0,0,0,39,0,3,Matches,d8b97bb3
2411,Ádám Szalai,hu HUN,FW,Hoffenheim,de Bundesliga,29,1987,10.0,214,197,16,0,1,0,1,0,0,0,0,0,157,1,6,Matches,53e07d0b
2412,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,27,1990,17.0,460,331,126,30,0,3,0,0,0,0,0,0,364,3,0,Matches,01b8a2b2
2413,Alexander Søderlund,no NOR,FW,Saint-Étienne,fr Ligue 1,29,1987,4.0,79,73,6,0,0,0,1,1,0,0,0,0,57,0,2,Matches,e61d33f1
2414,Frederik Sørensen,dk DEN,DF,Köln,de Bundesliga,25,1992,22.2,1020,873,143,30,0,11,15,113,0,0,0,0,731,4,15,Matches,68635c10
2415,Lasse Sørensen,dk DEN,MF,Stoke City,eng Premier League,17,1999,0.8,56,54,1,1,0,0,1,0,0,0,0,0,41,1,3,Matches,ce9c203e
2416,Alexander Sørloth,no NOR,FW,Crystal Palace,eng Premier League,21,1995,4.0,114,111,3,1,0,2,7,0,0,0,0,0,65,0,10,Matches,e92cd3f7
2417,Adel Taarabt,ma MAR,FWMF,Genoa,it Serie A,28,1989,17.9,767,716,49,8,3,9,42,4,14,6,2,0,587,2,20,Matches,47dc80f5
2418,Franck Tabanou,fr FRA,DF,Guingamp,fr Ligue 1,28,1989,11.6,627,467,156,21,0,5,53,133,2,1,1,0,458,4,16,Matches,15e1afd5
2419,Dušan Tadić,rs SRB,MFFW,Southampton,eng Premier League,28,1988,31.0,1255,1170,78,10,14,5,121,16,31,15,13,0,872,7,63,Matches,2475dcc6
2420,Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,21,1996,27.0,1479,1429,46,46,0,9,4,0,0,0,0,0,1269,4,14,Matches,bd142efb
2421,Ervin Taha,fr FRA,FW,Bordeaux,fr Ligue 1,18,1999,0.4,16,15,0,0,0,0,1,0,0,0,0,0,11,1,0,Matches,942c6dc3
2422,Mehdi Tahrat,dz ALG,MF,Angers,fr Ligue 1,27,1990,4.9,226,224,0,0,0,0,3,0,0,0,0,0,154,2,6,Matches,ec1aa15e
2423,Saphir Taïder,dz ALG,MF,Bologna,it Serie A,25,1992,4.3,218,214,4,3,2,3,4,0,1,0,0,0,196,0,4,Matches,a12d0c05
2424,Flavien Tait,fr FRA,MF,Angers,fr Ligue 1,24,1993,24.8,980,902,73,15,10,4,102,17,39,20,16,0,692,5,40,Matches,a0f9b535
2425,Adrien Tameze,cm CMR,MF,Nice,fr Ligue 1,23,1994,18.7,1320,1293,24,22,3,10,3,2,0,0,0,0,1201,3,19,Matches,8da74c05
2426,Tana,es ESP,MFFW,Las Palmas,es La Liga,26,1990,17.2,832,763,64,20,4,4,51,5,39,14,19,0,694,5,7,Matches,ef345601
2427,Oussama Tannane,ma MAR,FW,Las Palmas,es La Liga,23,1994,6.4,251,215,33,4,2,1,21,8,21,12,0,0,183,3,8,Matches,730bd100
2428,Oussama Tannane,ma MAR,FW,Saint-Étienne,fr Ligue 1,23,1994,2.3,95,83,11,4,0,1,7,2,5,2,2,1,69,1,2,Matches,730bd100
2429,Matt Targett,eng ENG,DF,Southampton,eng Premier League,21,1995,1.8,109,79,29,5,1,1,8,20,4,1,2,0,78,1,3,Matches,e514ab62
2430,James Tarkowski,eng ENG,DF,Burnley,eng Premier League,24,1992,31.0,1102,1078,17,17,0,25,4,0,0,0,0,0,800,7,3,Matches,15ea812b
2431,Ciprian Tătărușanu,ro ROU,GK,Nantes,fr Ligue 1,31,1986,37.0,1090,665,421,88,0,1,0,0,0,0,0,0,684,4,1,Matches,b056e3da
2432,Júlio Tavares,cv CPV,FW,Dijon,fr Ligue 1,28,1988,22.8,544,505,37,0,0,1,14,6,0,0,0,0,324,2,19,Matches,d520120b
2433,Taleb Tawatha,il ISR,DFMF,Eint Frankfurt,de Bundesliga,25,1992,4.9,232,156,76,3,0,0,24,67,6,1,5,0,153,0,12,Matches,bbb496b5
2434,Charlie Taylor,eng ENG,DF,Burnley,eng Premier League,23,1993,10.6,463,351,109,1,0,1,26,108,0,0,0,0,316,3,19,Matches,cc2d7ad5
2435,Jordan Tell,fr FRA,FWMF,Rennes,fr Ligue 1,20,1997,1.3,28,27,1,0,0,2,0,0,0,0,0,0,22,0,0,Matches,4f093689
2436,Cristian Tello,es ESP,FWMF,Betis,es La Liga,25,1991,18.8,724,698,23,2,5,9,22,16,5,1,1,0,549,3,13,Matches,72a99e38
2437,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,25,1992,37.0,1304,989,313,51,0,6,0,0,0,0,0,0,1068,2,1,Matches,6f51e382
2438,Simon Terodde,de GER,FW,Stuttgart,de Bundesliga,29,1988,10.6,235,211,23,0,1,4,2,0,0,0,0,0,159,1,10,Matches,863ff1ee
2439,Simon Terodde,de GER,FW,Köln,de Bundesliga,29,1988,12.9,304,266,36,0,0,2,2,0,0,0,0,0,194,2,13,Matches,863ff1ee
2440,Marco Terrazzino,de GER,MFFW,Freiburg,de Bundesliga,26,1991,16.5,613,603,9,3,1,3,12,5,1,0,0,0,486,1,25,Matches,7e689867
2441,Martin Terrier,fr FRA,FWMF,Strasbourg,fr Ligue 1,20,1997,18.6,500,480,16,1,5,8,21,4,3,3,0,0,367,4,14,Matches,5148dcc5
2442,Kenny Tete,nl NED,DF,Lyon,fr Ligue 1,21,1995,17.9,1073,879,193,14,3,7,57,179,0,0,0,0,854,1,30,Matches,77d7c96f
2443,Cedric Teuchert,de GER,FW,Schalke 04,de Bundesliga,20,1997,0.4,10,9,0,0,0,0,1,0,0,0,0,0,7,1,0,Matches,f956479d
2444,Florian Thauvin,fr FRA,FW,Marseille,fr Ligue 1,24,1993,32.8,1838,1669,156,38,29,18,203,19,75,52,8,2,1314,13,65,Matches,2b9fdeea
2445,Kévin Théophile-Catherine,fr FRA,DF,Saint-Étienne,fr Ligue 1,27,1989,24.1,1115,1060,49,20,1,17,2,29,0,0,0,0,913,6,7,Matches,6b994195
2446,Cyril Théréau,fr FRA,FWMF,Udinese,it Serie A,34,1983,2.0,74,72,2,0,0,1,3,1,0,0,0,0,58,0,3,Matches,4d3ab428
2447,Cyril Théréau,fr FRA,FWMF,Fiorentina,it Serie A,34,1983,12.4,506,496,7,2,5,1,16,3,2,1,1,0,394,3,6,Matches,4d3ab428
2448,Vincent Thill,lu LUX,MF,Metz,fr Ligue 1,17,2000,0.3,17,16,1,1,0,0,0,0,0,0,0,0,14,0,0,Matches,7de29631
2449,Romain Thomas,fr FRA,DF,Angers,fr Ligue 1,29,1988,27.4,1196,1143,47,46,0,11,1,1,0,0,0,0,967,6,5,Matches,275e2c51
2450,Adrien Thomasson,fr FRA,MFFW,Nantes,fr Ligue 1,23,1993,28.6,1330,1302,22,3,5,4,55,18,0,0,0,0,994,6,40,Matches,c76b7567
2451,Erik Thommy,de GER,FW,Augsburg,de Bundesliga,22,1994,1.9,73,67,6,3,0,1,13,0,3,2,1,0,52,0,1,Matches,df8e7b62
2452,Erik Thommy,de GER,MF,Stuttgart,de Bundesliga,22,1994,10.9,348,292,54,14,0,3,76,5,35,16,17,1,219,2,13,Matches,df8e7b62
2453,Marcus Thuram,fr FRA,FW,Guingamp,fr Ligue 1,19,1997,21.4,520,474,39,1,2,0,19,3,0,0,0,0,348,7,15,Matches,6f8cd6d0
2454,Youri Tielemans,be BEL,MF,Monaco,fr Ligue 1,20,1997,17.4,848,817,27,16,8,9,24,6,4,3,1,0,676,4,18,Matches,56f7a928
2455,David Timor,es ESP,MFDF,Girona,es La Liga,27,1989,10.3,470,454,13,13,0,24,3,0,0,0,0,0,379,3,4,Matches,174651c8
2456,Jonathan Tinhan,bj BEN,MFFW,Troyes,fr Ligue 1,28,1989,0.8,22,22,0,0,0,0,4,0,0,0,0,0,11,0,2,Matches,871fc5f8
2457,Marcel Tisserand,cd COD,DF,Wolfsburg,de Bundesliga,24,1993,13.9,744,679,65,23,0,13,23,42,0,0,0,0,610,0,11,Matches,45954ec7
2458,Tito,es ESP,DF,Leganés,es La Liga,32,1985,6.8,294,233,61,3,0,0,15,58,0,0,0,0,215,0,8,Matches,7cefa219
2459,Ola Toivonen,se SWE,FWMF,Toulouse,fr Ligue 1,31,1986,8.9,326,309,14,2,4,1,3,4,1,0,0,0,231,3,6,Matches,de4fe7a2
2460,Karl Toko Ekambi,cm CMR,FWMF,Angers,fr Ligue 1,24,1992,33.8,953,898,55,1,8,9,39,17,0,0,0,0,720,0,35,Matches,5ceba7fc
2461,Hernán Toledo,ar ARG,FWMF,Las Palmas,es La Liga,21,1996,6.9,173,171,2,0,0,0,20,2,0,0,0,0,113,0,10,Matches,93568a16
2462,Corentin Tolisso,fr FRA,MF,Bayern Munich,de Bundesliga,22,1994,17.5,1281,1256,22,13,3,17,12,6,0,0,0,0,1148,3,24,Matches,652d4c37
2463,Jeremy Toljan,de GER,DFFW,Hoffenheim,de Bundesliga,22,1994,2.0,81,65,16,3,0,0,1,13,0,0,0,0,68,0,3,Matches,a96e5dc0
2464,Jeremy Toljan,de GER,DF,Dortmund,de Bundesliga,22,1994,13.5,837,703,129,21,0,0,25,108,0,0,0,0,675,5,23,Matches,a96e5dc0
2465,Rafael Tolói,it ITA,DF,Atalanta,it Serie A,26,1990,27.2,1698,1545,144,45,3,34,15,99,0,0,0,0,1360,9,21,Matches,c56dc39e
2466,James Tomkins,eng ENG,DF,Crystal Palace,eng Premier League,28,1989,26.5,892,859,31,29,0,3,1,2,0,0,0,0,727,2,2,Matches,e7ca0439
2467,Nenad Tomović,rs SRB,DF,Fiorentina,it Serie A,29,1987,1.5,100,85,15,2,1,1,7,13,0,0,0,0,84,0,0,Matches,6aafdc27
2468,Nenad Tomović,rs SRB,DF,Chievo,it Serie A,29,1987,25.6,1063,968,87,30,0,16,12,57,0,0,0,0,864,8,12,Matches,6aafdc27
2469,Lorenzo Tonelli,it ITA,DF,Napoli,it Serie A,27,1990,3.9,232,223,9,9,0,0,0,0,0,0,0,0,218,0,3,Matches,8cc29864
2470,Aleksandar Tonev,bg BUL,FWMF,Crotone,it Serie A,27,1990,4.5,119,113,6,0,0,2,14,0,1,1,0,0,69,0,11,Matches,c15d1af9
2471,Toño,es ESP,DF,Levante,es La Liga,27,1989,12.0,589,455,132,14,2,5,43,118,0,0,0,0,443,2,13,Matches,d4ef9ac5
2472,Ömer Toprak,tr TUR,DF,Dortmund,de Bundesliga,28,1989,22.4,1856,1803,49,47,1,11,0,2,0,0,0,0,1665,4,10,Matches,c5fd13e9
2473,Vasilis Torosidis,gr GRE,DF,Bologna,it Serie A,32,1985,9.1,419,330,85,8,0,5,25,77,0,0,0,0,308,4,12,Matches,8ea2c099
2474,Emanuele Torrasi,it ITA,MF,Milan,it Serie A,18,1999,0.1,,,,,,,,,,,,,,,,Matches,16bc48f8
2475,Lucas Torreira,uy URU,MF,Sampdoria,it Serie A,21,1996,35.3,2316,2078,232,132,2,5,121,1,98,45,42,0,1938,6,22,Matches,52611641
2476,Daniel Torres,co COL,MF,Alavés,es La Liga,27,1989,13.5,514,487,21,21,2,6,2,0,0,0,0,0,420,6,6,Matches,87882adc
2477,Fernando Torres,es ESP,FW,Atlético Madrid,es La Liga,33,1984,10.9,248,240,4,0,2,0,2,1,0,0,0,0,147,4,7,Matches,bdf7b97d
2478,Ferrán Torres,es ESP,MF,Valencia,es La Liga,17,2000,3.5,110,108,1,0,0,1,11,0,1,0,1,0,68,1,5,Matches,9e1035f8
2479,Miguel Torres,es ESP,DF,Málaga,es La Liga,31,1986,7.5,306,252,52,3,0,0,4,49,0,0,0,0,248,2,3,Matches,44b61913
2480,Pau Torres,es ESP,DF,Villarreal,es La Liga,20,1997,0.6,32,29,2,2,1,0,0,0,0,0,0,0,20,1,2,Matches,532e1e4f
2481,Jordan Torunarigha,de GER,DF,Hertha BSC,de Bundesliga,19,1997,7.4,336,327,8,8,0,6,0,0,0,0,0,0,265,1,2,Matches,f86cabbd
2482,Alin Toșca,ro ROU,DF,Benevento,it Serie A,25,1992,13.0,727,698,27,22,0,3,3,5,0,0,0,0,635,2,9,Matches,322ba2df
2483,Alin Toșca,ro ROU,DF,Betis,es La Liga,25,1992,4.7,217,187,30,4,0,1,9,26,0,0,0,0,182,0,2,Matches,322ba2df
2484,Cenk Tosun,tr TUR,FW,Everton,eng Premier League,26,1991,11.0,272,265,5,2,2,1,7,0,1,0,0,0,187,2,9,Matches,9a104dee
2485,Jérémy Toulalan,fr FRA,DF,Bordeaux,fr Ligue 1,33,1983,21.0,1051,1004,43,42,1,25,3,1,0,0,0,0,889,4,5,Matches,7adea561
2486,Abdoulaye Touré,fr FRA,MF,Nantes,fr Ligue 1,23,1994,31.2,1372,1353,14,12,2,19,19,1,0,0,0,0,1075,5,27,Matches,ef7cd87a
2487,Almamy Touré,ml MLI,DF,Monaco,fr Ligue 1,21,1996,13.9,657,509,143,9,1,3,46,134,0,0,0,0,464,5,20,Matches,c8c60119
2488,Thomas Touré,ci CIV,FW,Bordeaux,fr Ligue 1,23,1993,0.1,3,2,1,1,0,0,0,0,0,0,0,0,1,0,1,Matches,d72db2f5
2489,Thomas Touré,ci CIV,MF,Angers,fr Ligue 1,23,1993,1.4,53,50,3,0,0,0,1,3,0,0,0,0,43,0,2,Matches,d72db2f5
2490,Yaya Touré,ci CIV,MF,Manchester City,eng Premier League,34,1983,2.6,417,411,5,5,3,3,0,0,0,0,0,0,390,1,1,Matches,c204f844
2491,Lucas Tousart,fr FRA,MF,Lyon,fr Ligue 1,20,1997,34.8,1545,1508,34,33,5,11,5,1,0,0,0,0,1323,3,18,Matches,71ec39ef
2492,Andros Townsend,eng ENG,FWMF,Crystal Palace,eng Premier League,26,1991,34.7,1226,1088,134,39,3,5,176,23,49,23,5,16,870,4,49,Matches,b28bbd58
2493,Adama Traoré,ml MLI,MFFW,Monaco,fr Ligue 1,22,1995,2.1,74,69,5,0,1,0,2,0,3,2,0,0,61,0,0,Matches,1a6f2a66
